0, 0 2148 0 14 0 0 0;
1, 1 2148 0 14 0 0 0;
2, 2 2148 0 14 0 0 0;
3, 3 2148 0 14 0 0 0;
4, 4 2148 0 14 0 0 0;
5, 5 2148 0 14 0 0 0;
6, 6 2148 0 14 0 0 0;
7, 7 2148 0 14 0 0 0;
8, 8 2000 1 16 0 0 0;
9, 9 2000 1 16 0 0 0;
10, 10 2000 1 16 0 0 0;
11, 11 2000 1 16 0 0 0;
12, 12 2000 1 16 0 0 0;
13, 13 2000 1 16 0 0 0;
14, 14 2000 1 16 0 0 0;
15, 15 2000 1 16 0 0 0;
16, 16 2000 2 13 0 0 0;
17, 17 2000 2 13 0 0 0;
18, 18 2000 2 13 0 0 0;
19, 19 2000 2 13 0 0 0;
20, 20 2000 2 13 0 0 0;
21, 21 2000 2 13 0 0 0;
22, 22 2000 2 13 0 0 0;
23, 23 2000 2 13 0 0 0;
24, 24 2000 3 12 0 0 0;
25, 25 2000 3 12 0 0 0;
26, 26 2000 3 12 0 0 0;
27, 27 2000 3 12 0 0 0;
28, 28 2000 3 12 0 0 0;
29, 29 2000 3 12 0 0 0;
30, 30 2000 3 12 0 0 0;
31, 31 2000 3 12 0 0 0;
32, 0 2000 4 14 0 0 5;
33, 1 2000 4 14 0 0 5;
34, 2 2000 4 14 0 0 5;
35, 3 750 5 14 0 0 5;
36, 4 750 5 14 0 0 5;
37, 5 750 5 14 0 0 5;
38, 6 750 6 14 0 0 5;
39, 7 750 6 14 0 0 5;
40, 8 500 7 16 0 0 2;
41, 9 500 7 16 0 0 2;
42, 10 500 7 16 0 0 2;
43, 11 500 7 16 0 0 2;
44, 12 500 7 16 0 0 2;
45, 13 500 7 16 0 0 2;
46, 14 500 7 16 0 0 2;
47, 15 500 7 16 0 0 2;
48, 16 2000 8 13 0 0 2;
49, 17 2000 8 13 0 0 2;
50, 18 2000 8 13 0 0 2;
51, 19 750 9 13 0 0 2;
52, 20 750 9 13 0 0 2;
53, 21 750 9 13 0 0 2;
54, 22 750 10 12 0 0 2;
55, 23 750 10 12 0 0 2;
56, 24 500 11 12 0 0 2;
57, 25 500 11 12 0 0 2;
58, 26 500 11 12 0 0 2;
59, 27 500 11 12 0 0 2;
60, 28 1000 12 10 0 0 6;
61, 29 1000 12 10 0 0 6;
62, 30 1000 12 10 0 0 6;
63, 31 1000 12 10 0 0 6;
64, 0 1000 13 18 0 0 5;
65, 1 1000 13 18 0 0 5;
66, 2 1000 13 18 0 0 5;
67, 3 750 14 18 0 0 5;
68, 4 750 14 18 0 0 5;
69, 5 750 14 18 0 0 5;
70, 6 750 15 18 0 0 5;
71, 7 750 15 18 0 0 5;
72, 8 500 16 18 0 0 2;
73, 9 500 16 18 0 0 2;
74, 10 500 16 18 0 0 2;
75, 11 500 16 18 0 0 2;
76, 12 500 16 18 0 0 2;
77, 13 500 16 18 0 0 2;
78, 14 500 16 18 0 0 2;
79, 15 500 16 18 0 0 2;
80, 16 2000 17 13 0 0 2;
81, 17 2000 17 13 0 0 2;
82, 18 2000 17 13 0 0 2;
83, 19 750 18 13 0 0 2;
84, 20 750 18 13 0 0 2;
85, 21 750 18 13 0 0 2;
86, 22 750 19 14 0 0 2;
87, 23 750 19 14 0 0 2;
88, 24 500 20 14 0 0 2;
89, 25 500 20 14 0 0 2;
90, 26 500 20 14 0 0 2;
91, 27 500 20 14 0 0 2;
92, 28 1000 21 14 0 0 6;
93, 29 1000 21 14 0 0 6;
94, 30 1000 21 14 0 0 6;
95, 31 1000 21 14 0 0 6;
96, 0 1000 22 14 0 0 5;
97, 1 1000 22 14 0 0 5;
98, 2 1000 22 14 0 0 5;
99, 3 1000 22 14 0 0 5;
100, 4 1000 23 14 0 0 5;
101, 5 1000 23 14 0 0 5;
102, 6 1000 23 14 0 0 5;
103, 7 1000 23 14 0 0 5;
104, 8 1000 24 14 0 0 2;
105, 9 1000 24 14 0 0 2;
106, 10 1000 24 14 0 0 2;
107, 11 1000 24 14 0 0 2;
108, 12 1000 25 15 0 0 2;
109, 13 1000 25 15 0 0 2;
110, 14 1000 25 15 0 0 2;
111, 15 1000 25 15 0 0 2;
112, 16 1000 26 13 0 0 2;
113, 17 1000 26 13 0 0 2;
114, 18 1000 26 13 0 0 2;
115, 19 750 27 13 0 0 2;
116, 20 750 27 13 0 0 2;
117, 21 750 27 13 0 0 2;
118, 22 750 28 12 0 0 2;
119, 23 750 28 12 0 0 2;
120, 24 500 29 12 0 0 2;
121, 25 500 29 12 0 0 2;
122, 26 500 29 12 0 0 2;
123, 27 500 29 12 0 0 2;
124, 28 1000 30 14 0 0 6;
125, 29 1000 30 14 0 0 6;
126, 30 1000 30 14 0 0 6;
